o_code,d_code,o_name,d_name,year,item,weight
62,4,Ethiopia PDR,Algeria,1987,skins_goat_dry_salted,84.0
62,4,Ethiopia PDR,Algeria,1988,skins_goat_dry_salted,80.0
62,11,Ethiopia PDR,Austria,1989,skins_goat_dry_salted,3.0
62,51,Ethiopia PDR,Czechoslovakia,1988,skins_goat_dry_salted,4.0
113,2,Kyrgyzstan,Afghanistan,2000,skins_goat_dry_salted,24.0
62,67,Ethiopia PDR,Finland,1989,skins_goat_dry_salted,3.0
195,4,Senegal,Algeria,1988,skins_goat_dry_salted,5.0
62,68,Ethiopia PDR,France,1987,skins_goat_dry_salted,46.0
62,68,Ethiopia PDR,France,1988,skins_goat_dry_salted,105.0
62,68,Ethiopia PDR,France,1989,skins_goat_dry_salted,568.0
62,68,Ethiopia PDR,France,1990,skins_goat_dry_salted,72.0
62,68,Ethiopia PDR,France,1991,skins_goat_dry_salted,366.0
108,2,Kazakhstan,Afghanistan,2004,skins_goat_dry_salted,20.0
108,2,Kazakhstan,Afghanistan,2007,skins_goat_dry_salted,17.0
159,15,Nigeria,Belgium-Luxembourg,1986,skins_goat_dry_salted,7.0
62,79,Ethiopia PDR,Germany,1991,skins_goat_dry_salted,121.0
62,84,Ethiopia PDR,Greece,1987,skins_goat_dry_salted,13.0
62,84,Ethiopia PDR,Greece,1989,skins_goat_dry_salted,16.0
62,84,Ethiopia PDR,Greece,1990,skins_goat_dry_salted,17.0
62,99,Ethiopia PDR,Iceland,1987,skins_goat_dry_salted,12.0
62,99,Ethiopia PDR,Iceland,1991,skins_goat_dry_salted,9.0
62,100,Ethiopia PDR,India,1987,skins_goat_dry_salted,25.0
62,100,Ethiopia PDR,India,1988,skins_goat_dry_salted,10.0
133,255,Mali,Belgium,2002,skins_goat_dry_salted,3.0
62,106,Ethiopia PDR,Italy,1987,skins_goat_dry_salted,1527.0
62,106,Ethiopia PDR,Italy,1988,skins_goat_dry_salted,2284.0
62,106,Ethiopia PDR,Italy,1989,skins_goat_dry_salted,2356.0
62,106,Ethiopia PDR,Italy,1990,skins_goat_dry_salted,1677.0
62,106,Ethiopia PDR,Italy,1991,skins_goat_dry_salted,315.0
62,106,Ethiopia PDR,Italy,1992,skins_goat_dry_salted,942.0
206,41,Sudan (former),"China, mainland",2006,skins_goat_dry_salted,24.0
62,110,Ethiopia PDR,Japan,1987,skins_goat_dry_salted,1.0
62,110,Ethiopia PDR,Japan,1988,skins_goat_dry_salted,50.0
62,110,Ethiopia PDR,Japan,1989,skins_goat_dry_salted,45.0
62,110,Ethiopia PDR,Japan,1990,skins_goat_dry_salted,125.0
62,110,Ethiopia PDR,Japan,1991,skins_goat_dry_salted,18.0
62,149,Ethiopia PDR,Nepal,1988,skins_goat_dry_salted,10.0
62,149,Ethiopia PDR,Nepal,1992,skins_goat_dry_salted,46.0
62,150,Ethiopia PDR,Netherlands (Kingdom of the),1987,skins_goat_dry_salted,8.0
62,150,Ethiopia PDR,Netherlands (Kingdom of the),1988,skins_goat_dry_salted,23.0
62,150,Ethiopia PDR,Netherlands (Kingdom of the),1989,skins_goat_dry_salted,9.0
62,150,Ethiopia PDR,Netherlands (Kingdom of the),1992,skins_goat_dry_salted,56.0
62,173,Ethiopia PDR,Poland,1992,skins_goat_dry_salted,17.0
62,174,Ethiopia PDR,Portugal,1988,skins_goat_dry_salted,4.0
62,174,Ethiopia PDR,Portugal,1990,skins_goat_dry_salted,8.0
62,183,Ethiopia PDR,Romania,1988,skins_goat_dry_salted,29.0
62,183,Ethiopia PDR,Romania,1990,skins_goat_dry_salted,7.0
62,203,Ethiopia PDR,Spain,1987,skins_goat_dry_salted,117.0
62,203,Ethiopia PDR,Spain,1988,skins_goat_dry_salted,50.0
62,203,Ethiopia PDR,Spain,1989,skins_goat_dry_salted,101.0
62,203,Ethiopia PDR,Spain,1990,skins_goat_dry_salted,53.0
62,203,Ethiopia PDR,Spain,1991,skins_goat_dry_salted,59.0
62,203,Ethiopia PDR,Spain,1992,skins_goat_dry_salted,18.0
62,210,Ethiopia PDR,Sweden,1988,skins_goat_dry_salted,24.0
62,210,Ethiopia PDR,Sweden,1990,skins_goat_dry_salted,2.0
62,211,Ethiopia PDR,Switzerland,1987,skins_goat_dry_salted,20.0
159,68,Nigeria,France,1986,skins_goat_dry_salted,4.0
206,59,Sudan (former),Egypt,2003,skins_goat_dry_salted,1.0
62,229,Ethiopia PDR,United Kingdom of Great Britain and Northern Ireland,1987,skins_goat_dry_salted,127.0
62,229,Ethiopia PDR,United Kingdom of Great Britain and Northern Ireland,1989,skins_goat_dry_salted,12.0
62,229,Ethiopia PDR,United Kingdom of Great Britain and Northern Ireland,1990,skins_goat_dry_salted,37.0
62,229,Ethiopia PDR,United Kingdom of Great Britain and Northern Ireland,1991,skins_goat_dry_salted,38.0
62,229,Ethiopia PDR,United Kingdom of Great Britain and Northern Ireland,1992,skins_goat_dry_salted,77.0
62,231,Ethiopia PDR,United States of America,1988,skins_goat_dry_salted,33.0
62,231,Ethiopia PDR,United States of America,1989,skins_goat_dry_salted,16.0
62,231,Ethiopia PDR,United States of America,1992,skins_goat_dry_salted,11.0
62,228,Ethiopia PDR,USSR,1988,skins_goat_dry_salted,13.0
206,79,Sudan (former),Germany,2004,skins_goat_dry_salted,4.0
112,10,Jordan,Australia,2003,skins_goat_dry_salted,17.0
112,10,Jordan,Australia,2004,skins_goat_dry_salted,200.0
112,10,Jordan,Australia,2006,skins_goat_dry_salted,46.0
159,106,Nigeria,Italy,1986,skins_goat_dry_salted,16.0
206,100,Sudan (former),India,2001,skins_goat_dry_salted,4.0
206,100,Sudan (former),India,2002,skins_goat_dry_salted,49.0
206,100,Sudan (former),India,2003,skins_goat_dry_salted,105.0
206,100,Sudan (former),India,2004,skins_goat_dry_salted,15.0
29,29,Burundi,Burundi,2012,skins_goat_dry_salted,537.0
206,106,Sudan (former),Italy,2000,skins_goat_dry_salted,75.0
206,106,Sudan (former),Italy,2002,skins_goat_dry_salted,124.0
206,106,Sudan (former),Italy,2003,skins_goat_dry_salted,20.0
75,41,Gambia,"China, mainland",2009,skins_goat_dry_salted,4.0
238,21,Ethiopia,Brazil,2004,skins_goat_dry_salted,36.0
238,27,Ethiopia,Bulgaria,1998,skins_goat_dry_salted,34.0
133,107,Mali,Côte d'Ivoire,2002,skins_goat_dry_salted,4.0
133,107,Mali,Côte d'Ivoire,2003,skins_goat_dry_salted,1.0
133,107,Mali,Côte d'Ivoire,2007,skins_goat_dry_salted,5.0
186,27,Serbia and Montenegro,Bulgaria,2002,skins_goat_dry_salted,2.0
159,203,Nigeria,Spain,1986,skins_goat_dry_salted,1.0
13,10,Bahrain,Australia,2002,skins_goat_dry_salted,189.0
13,10,Bahrain,Australia,2004,skins_goat_dry_salted,110.0
114,255,Kenya,Belgium,2003,skins_goat_dry_salted,12.0
104,10,Ireland,Australia,1992,skins_goat_dry_salted,4.0
206,134,Sudan (former),Malta,1997,skins_goat_dry_salted,11.0
195,15,Senegal,Belgium-Luxembourg,1995,skins_goat_dry_salted,5.0
206,165,Sudan (former),Pakistan,2000,skins_goat_dry_salted,179.0
206,165,Sudan (former),Pakistan,2002,skins_goat_dry_salted,70.0
206,165,Sudan (former),Pakistan,2003,skins_goat_dry_salted,64.0
206,165,Sudan (former),Pakistan,2006,skins_goat_dry_salted,18.0
206,171,Sudan (former),Philippines,2000,skins_goat_dry_salted,16.0
130,68,Malawi,France,1989,skins_goat_dry_salted,5.0
238,96,Ethiopia,"China, Hong Kong SAR",1998,skins_goat_dry_salted,2.0
238,96,Ethiopia,"China, Hong Kong SAR",2000,skins_goat_dry_salted,2.0
238,96,Ethiopia,"China, Hong Kong SAR",2006,skins_goat_dry_salted,22.0
212,106,Syrian Arab Republic,Italy,1992,skins_goat_dry_salted,23.0
212,106,Syrian Arab Republic,Italy,2004,skins_goat_dry_salted,45.0
226,96,Uganda,"China, Hong Kong SAR",1999,skins_goat_dry_salted,9.0
226,96,Uganda,"China, Hong Kong SAR",2000,skins_goat_dry_salted,18.0
113,41,Kyrgyzstan,"China, mainland",1999,skins_goat_dry_salted,16.0
113,41,Kyrgyzstan,"China, mainland",2000,skins_goat_dry_salted,361.0
113,41,Kyrgyzstan,"China, mainland",2002,skins_goat_dry_salted,109.0
113,41,Kyrgyzstan,"China, mainland",2003,skins_goat_dry_salted,112.0
113,41,Kyrgyzstan,"China, mainland",2004,skins_goat_dry_salted,107.0
113,41,Kyrgyzstan,"China, mainland",2005,skins_goat_dry_salted,255.0
113,41,Kyrgyzstan,"China, mainland",2006,skins_goat_dry_salted,147.0
113,41,Kyrgyzstan,"China, mainland",2007,skins_goat_dry_salted,368.0
114,21,Kenya,Brazil,1993,skins_goat_dry_salted,19.0
184,96,Rwanda,"China, Hong Kong SAR",2005,skins_goat_dry_salted,34.0
84,3,Greece,Albania,1995,skins_goat_dry_salted,2.0
84,3,Greece,Albania,1996,skins_goat_dry_salted,31.0
84,3,Greece,Albania,1997,skins_goat_dry_salted,4.0
84,3,Greece,Albania,2001,skins_goat_dry_salted,3.0
84,3,Greece,Albania,2006,skins_goat_dry_salted,16.0
130,84,Malawi,Greece,1986,skins_goat_dry_salted,16.0
130,84,Malawi,Greece,1987,skins_goat_dry_salted,9.0
130,84,Malawi,Greece,1988,skins_goat_dry_salted,5.0
130,84,Malawi,Greece,2007,skins_goat_dry_salted,17.0
133,68,Mali,France,2002,skins_goat_dry_salted,8.0
236,21,Venezuela (Bolivarian Republic of),Brazil,2007,skins_goat_dry_salted,20.0
106,3,Italy,Albania,2003,skins_goat_dry_salted,1.0
106,3,Italy,Albania,2008,skins_goat_dry_salted,34.0
106,3,Italy,Albania,2009,skins_goat_dry_salted,13.0
106,3,Italy,Albania,2011,skins_goat_dry_salted,42.0
195,21,Senegal,Brazil,1993,skins_goat_dry_salted,5.0
195,21,Senegal,Brazil,1994,skins_goat_dry_salted,6.0
255,9,Belgium,Argentina,2011,skins_goat_dry_salted,19.0
114,29,Kenya,Burundi,1993,skins_goat_dry_salted,2.0
206,194,Sudan (former),Saudi Arabia,1997,skins_goat_dry_salted,19.0
206,194,Sudan (former),Saudi Arabia,2001,skins_goat_dry_salted,1.0
206,194,Sudan (former),Saudi Arabia,2003,skins_goat_dry_salted,6.0
133,81,Mali,Ghana,2006,skins_goat_dry_salted,3.0
206,203,Sudan (former),Spain,2002,skins_goat_dry_salted,44.0
29,114,Burundi,Kenya,2013,skins_goat_dry_salted,27.0
60,96,El Salvador,"China, Hong Kong SAR",1997,skins_goat_dry_salted,14.0
68,4,France,Algeria,1995,skins_goat_dry_salted,4.0
206,212,Sudan (former),Syrian Arab Republic,2006,skins_goat_dry_salted,43.0
206,222,Sudan (former),Tunisia,2002,skins_goat_dry_salted,100.0
206,223,Sudan (former),Türkiye,2000,skins_goat_dry_salted,52.0
206,223,Sudan (former),Türkiye,2003,skins_goat_dry_salted,49.0
206,223,Sudan (former),Türkiye,2006,skins_goat_dry_salted,5.0
238,41,Ethiopia,"China, mainland",2005,skins_goat_dry_salted,317.0
238,41,Ethiopia,"China, mainland",2006,skins_goat_dry_salted,619.0
133,106,Mali,Italy,2003,skins_goat_dry_salted,3.0
133,106,Mali,Italy,2004,skins_goat_dry_salted,6.0
133,106,Mali,Italy,2006,skins_goat_dry_salted,18.0
130,106,Malawi,Italy,1988,skins_goat_dry_salted,9.0
130,106,Malawi,Italy,1989,skins_goat_dry_salted,16.0
130,106,Malawi,Italy,2007,skins_goat_dry_salted,14.0
90,203,Guinea,Spain,1997,skins_goat_dry_salted,10.0
206,225,Sudan (former),United Arab Emirates,2003,skins_goat_dry_salted,13.0
195,96,Senegal,"China, Hong Kong SAR",1997,skins_goat_dry_salted,14.0
195,96,Senegal,"China, Hong Kong SAR",1999,skins_goat_dry_salted,18.0
174,7,Portugal,Angola,1991,skins_goat_dry_salted,2.0
186,84,Serbia and Montenegro,Greece,2001,skins_goat_dry_salted,10.0
186,84,Serbia and Montenegro,Greece,2004,skins_goat_dry_salted,1.0
114,96,Kenya,"China, Hong Kong SAR",1992,skins_goat_dry_salted,34.0
114,96,Kenya,"China, Hong Kong SAR",1993,skins_goat_dry_salted,4.0
114,96,Kenya,"China, Hong Kong SAR",1997,skins_goat_dry_salted,30.0
114,96,Kenya,"China, Hong Kong SAR",1998,skins_goat_dry_salted,120.0
114,96,Kenya,"China, Hong Kong SAR",1999,skins_goat_dry_salted,8.0
114,96,Kenya,"China, Hong Kong SAR",2001,skins_goat_dry_salted,224.0
114,96,Kenya,"China, Hong Kong SAR",2002,skins_goat_dry_salted,6.0
114,96,Kenya,"China, Hong Kong SAR",2003,skins_goat_dry_salted,59.0
114,96,Kenya,"China, Hong Kong SAR",2004,skins_goat_dry_salted,191.0
114,96,Kenya,"China, Hong Kong SAR",2005,skins_goat_dry_salted,291.0
114,96,Kenya,"China, Hong Kong SAR",2006,skins_goat_dry_salted,130.0
14,33,Barbados,Canada,2014,skins_goat_dry_salted,0.07
29,184,Burundi,Rwanda,2013,skins_goat_dry_salted,17.0
130,114,Malawi,Kenya,2007,skins_goat_dry_salted,68.0
206,229,Sudan (former),United Kingdom of Great Britain and Northern Ireland,2000,skins_goat_dry_salted,33.0
133,143,Mali,Morocco,2005,skins_goat_dry_salted,23.0
3,79,Albania,Germany,2002,skins_goat_dry_salted,16.0
113,100,Kyrgyzstan,India,2002,skins_goat_dry_salted,23.0
113,100,Kyrgyzstan,India,2007,skins_goat_dry_salted,3.0
15,21,Belgium-Luxembourg,Brazil,1997,skins_goat_dry_salted,229.0
15,21,Belgium-Luxembourg,Brazil,1998,skins_goat_dry_salted,42.0
248,223,Yugoslav SFR,Türkiye,1989,skins_goat_dry_salted,12.0
248,223,Yugoslav SFR,Türkiye,1990,skins_goat_dry_salted,67.0
143,21,Morocco,Brazil,1993,skins_goat_dry_salted,9.0
143,21,Morocco,Brazil,1994,skins_goat_dry_salted,20.0
195,41,Senegal,"China, mainland",2003,skins_goat_dry_salted,9.0
114,41,Kenya,"China, mainland",1992,skins_goat_dry_salted,24.0
114,41,Kenya,"China, mainland",1993,skins_goat_dry_salted,40.0
114,41,Kenya,"China, mainland",1996,skins_goat_dry_salted,10.0
114,41,Kenya,"China, mainland",1998,skins_goat_dry_salted,17.0
114,41,Kenya,"China, mainland",1999,skins_goat_dry_salted,6.0
114,41,Kenya,"China, mainland",2003,skins_goat_dry_salted,10.0
114,41,Kenya,"China, mainland",2005,skins_goat_dry_salted,56.0
29,226,Burundi,Uganda,2013,skins_goat_dry_salted,1.0
114,214,Kenya,"China, Taiwan Province of",1998,skins_goat_dry_salted,6.0
236,41,Venezuela (Bolivarian Republic of),"China, mainland",2012,skins_goat_dry_salted,15.0
133,195,Mali,Senegal,2002,skins_goat_dry_salted,57.0
133,195,Mali,Senegal,2003,skins_goat_dry_salted,40.0
133,195,Mali,Senegal,2004,skins_goat_dry_salted,201.0
133,195,Mali,Senegal,2005,skins_goat_dry_salted,100.0
133,195,Mali,Senegal,2006,skins_goat_dry_salted,70.0
133,195,Mali,Senegal,2007,skins_goat_dry_salted,46.0
10,16,Australia,Bangladesh,2002,skins_goat_dry_salted,15.0
10,16,Australia,Bangladesh,2003,skins_goat_dry_salted,48.0
10,16,Australia,Bangladesh,2005,skins_goat_dry_salted,54.0
238,72,Ethiopia,Djibouti,1998,skins_goat_dry_salted,17.0
238,72,Ethiopia,Djibouti,1999,skins_goat_dry_salted,24.0
238,72,Ethiopia,Djibouti,2000,skins_goat_dry_salted,49.0
238,72,Ethiopia,Djibouti,2002,skins_goat_dry_salted,386.0
238,72,Ethiopia,Djibouti,2006,skins_goat_dry_salted,17.0
114,45,Kenya,Comoros,1992,skins_goat_dry_salted,16.0
46,106,Congo,Italy,1994,skins_goat_dry_salted,11.0
108,41,Kazakhstan,"China, mainland",2006,skins_goat_dry_salted,35.0
54,11,Denmark,Austria,2007,skins_goat_dry_salted,5.0
131,10,Malaysia,Australia,1994,skins_goat_dry_salted,5.0
131,10,Malaysia,Australia,1999,skins_goat_dry_salted,13.0
133,203,Mali,Spain,2002,skins_goat_dry_salted,108.0
133,203,Mali,Spain,2003,skins_goat_dry_salted,101.0
133,203,Mali,Spain,2004,skins_goat_dry_salted,78.0
179,41,Qatar,"China, mainland",2007,skins_goat_dry_salted,9.0
100,10,India,Australia,2004,skins_goat_dry_salted,3.0
100,10,India,Australia,2007,skins_goat_dry_salted,13.0
130,165,Malawi,Pakistan,2007,skins_goat_dry_salted,21.0
112,41,Jordan,"China, mainland",2005,skins_goat_dry_salted,85.0
112,41,Jordan,"China, mainland",2006,skins_goat_dry_salted,2219.0
130,117,Malawi,Republic of Korea,2007,skins_goat_dry_salted,6.0
19,40,Bolivia (Plurinational State of),Chile,1992,skins_goat_dry_salted,44.0
198,11,Slovenia,Austria,1996,skins_goat_dry_salted,86.0
186,154,Serbia and Montenegro,North Macedonia,2004,skins_goat_dry_salted,2.0
3,84,Albania,Greece,2001,skins_goat_dry_salted,27.0
3,84,Albania,Greece,2002,skins_goat_dry_salted,5.0
184,100,Rwanda,India,2005,skins_goat_dry_salted,28.0
195,54,Senegal,Denmark,2000,skins_goat_dry_salted,171.0
114,250,Kenya,Democratic Republic of the Congo,2003,skins_goat_dry_salted,1.0
149,106,Nepal,Italy,1999,skins_goat_dry_salted,13.0
149,106,Nepal,Italy,2003,skins_goat_dry_salted,51.0
41,10,"China, mainland",Australia,1989,skins_goat_dry_salted,10.0
154,27,North Macedonia,Bulgaria,2002,skins_goat_dry_salted,12.0
154,27,North Macedonia,Bulgaria,2003,skins_goat_dry_salted,6.0
154,27,North Macedonia,Bulgaria,2006,skins_goat_dry_salted,1.0
167,11,Czechia,Austria,2011,skins_goat_dry_salted,1.0
149,110,Nepal,Japan,2003,skins_goat_dry_salted,10.0
238,68,Ethiopia,France,1998,skins_goat_dry_salted,18.0
238,68,Ethiopia,France,1999,skins_goat_dry_salted,6.0
184,106,Rwanda,Italy,2005,skins_goat_dry_salted,35.0
221,59,Oman,Egypt,2001,skins_goat_dry_salted,5.0
113,108,Kyrgyzstan,Kazakhstan,2002,skins_goat_dry_salted,30.0
113,108,Kyrgyzstan,Kazakhstan,2005,skins_goat_dry_salted,23.0
114,54,Kenya,Denmark,1999,skins_goat_dry_salted,11.0
100,11,India,Austria,2003,skins_goat_dry_salted,1.0
100,11,India,Austria,2005,skins_goat_dry_salted,1.0
100,11,India,Austria,2006,skins_goat_dry_salted,1.0
15,96,Belgium-Luxembourg,"China, Hong Kong SAR",1996,skins_goat_dry_salted,36.0
13,41,Bahrain,"China, mainland",2002,skins_goat_dry_salted,161.0
13,41,Bahrain,"China, mainland",2003,skins_goat_dry_salted,1287.0
13,41,Bahrain,"China, mainland",2004,skins_goat_dry_salted,722.0
13,41,Bahrain,"China, mainland",2005,skins_goat_dry_salted,24.0
13,41,Bahrain,"China, mainland",2006,skins_goat_dry_salted,228.0
13,41,Bahrain,"China, mainland",2007,skins_goat_dry_salted,170.0
236,44,Venezuela (Bolivarian Republic of),Colombia,1993,skins_goat_dry_salted,63.0
236,44,Venezuela (Bolivarian Republic of),Colombia,1994,skins_goat_dry_salted,111.0
236,44,Venezuela (Bolivarian Republic of),Colombia,1995,skins_goat_dry_salted,48.0
236,44,Venezuela (Bolivarian Republic of),Colombia,1996,skins_goat_dry_salted,38.0
229,10,United Kingdom of Great Britain and Northern Ireland,Australia,1991,skins_goat_dry_salted,17.0
59,96,Egypt,"China, Hong Kong SAR",2011,skins_goat_dry_salted,44.0
149,150,Nepal,Netherlands (Kingdom of the),2003,skins_goat_dry_salted,18.0
84,11,Greece,Austria,1994,skins_goat_dry_salted,1.0
35,174,Cabo Verde,Portugal,1986,skins_goat_dry_salted,10.0
149,165,Nepal,Pakistan,2003,skins_goat_dry_salted,10.0
113,141,Kyrgyzstan,Mongolia,2000,skins_goat_dry_salted,93.0
114,59,Kenya,Egypt,1993,skins_goat_dry_salted,17.0
129,68,Madagascar,France,1996,skins_goat_dry_salted,1.0
238,84,Ethiopia,Greece,1999,skins_goat_dry_salted,33.0
238,84,Ethiopia,Greece,2001,skins_goat_dry_salted,23.0
184,114,Rwanda,Kenya,2005,skins_goat_dry_salted,242.0
147,79,Namibia,Germany,2003,skins_goat_dry_salted,492.0
58,44,Ecuador,Colombia,2003,skins_goat_dry_salted,18.0
114,61,Kenya,Equatorial Guinea,2001,skins_goat_dry_salted,17.0
272,27,Serbia,Bulgaria,2006,skins_goat_dry_salted,3.0
67,33,Finland,Canada,2001,skins_goat_dry_salted,1.0
109,93,Jamaica,Haiti,2004,skins_goat_dry_salted,18.0
96,21,"China, Hong Kong SAR",Brazil,1986,skins_goat_dry_salted,10.0
113,165,Kyrgyzstan,Pakistan,2007,skins_goat_dry_salted,6.0
149,194,Nepal,Saudi Arabia,2003,skins_goat_dry_salted,1.0
223,11,Türkiye,Austria,1996,skins_goat_dry_salted,3.0
223,11,Türkiye,Austria,1997,skins_goat_dry_salted,3.0
223,11,Türkiye,Austria,1998,skins_goat_dry_salted,2.0
223,11,Türkiye,Austria,1999,skins_goat_dry_salted,4.0
223,11,Türkiye,Austria,2000,skins_goat_dry_salted,7.0
223,11,Türkiye,Austria,2001,skins_goat_dry_salted,6.0
226,106,Uganda,Italy,2001,skins_goat_dry_salted,4.0
238,100,Ethiopia,India,1999,skins_goat_dry_salted,18.0
238,100,Ethiopia,India,2000,skins_goat_dry_salted,314.0
238,100,Ethiopia,India,2001,skins_goat_dry_salted,94.0
238,100,Ethiopia,India,2002,skins_goat_dry_salted,98.0
238,100,Ethiopia,India,2004,skins_goat_dry_salted,1.0
50,51,Cyprus,Czechoslovakia,1990,skins_goat_dry_salted,39.0
184,156,Rwanda,New Zealand,2005,skins_goat_dry_salted,28.0
225,16,United Arab Emirates,Bangladesh,2005,skins_goat_dry_salted,36.0
225,16,United Arab Emirates,Bangladesh,2007,skins_goat_dry_salted,33.0
147,106,Namibia,Italy,2002,skins_goat_dry_salted,39.0
112,59,Jordan,Egypt,2006,skins_goat_dry_salted,100.0
130,203,Malawi,Spain,1987,skins_goat_dry_salted,4.0
238,101,Ethiopia,Indonesia,2000,skins_goat_dry_salted,39.0
238,101,Ethiopia,Indonesia,2001,skins_goat_dry_salted,16.0
238,101,Ethiopia,Indonesia,2002,skins_goat_dry_salted,1074.0
238,101,Ethiopia,Indonesia,2003,skins_goat_dry_salted,1104.0
184,165,Rwanda,Pakistan,2005,skins_goat_dry_salted,164.0
184,166,Rwanda,Panama,2005,skins_goat_dry_salted,21.0
3,106,Albania,Italy,2001,skins_goat_dry_salted,25.0
3,106,Albania,Italy,2002,skins_goat_dry_salted,35.0
3,106,Albania,Italy,2003,skins_goat_dry_salted,27.0
195,68,Senegal,France,1990,skins_goat_dry_salted,4.0
195,68,Senegal,France,1993,skins_goat_dry_salted,10.0
195,68,Senegal,France,1994,skins_goat_dry_salted,21.0
195,68,Senegal,France,1995,skins_goat_dry_salted,5.0
195,68,Senegal,France,2000,skins_goat_dry_salted,15.0
195,68,Senegal,France,2002,skins_goat_dry_salted,17.0
184,194,Rwanda,Saudi Arabia,2005,skins_goat_dry_salted,9.0
211,11,Switzerland,Austria,1990,skins_goat_dry_salted,3.0
211,11,Switzerland,Austria,1991,skins_goat_dry_salted,3.0
211,11,Switzerland,Austria,1993,skins_goat_dry_salted,2.0
211,11,Switzerland,Austria,1995,skins_goat_dry_salted,1.0
211,11,Switzerland,Austria,1996,skins_goat_dry_salted,2.0
211,11,Switzerland,Austria,1999,skins_goat_dry_salted,1.0
211,11,Switzerland,Austria,2004,skins_goat_dry_salted,1.0
211,11,Switzerland,Austria,2006,skins_goat_dry_salted,1.0
53,195,Benin,Senegal,1999,skins_goat_dry_salted,6.0
114,68,Kenya,France,1986,skins_goat_dry_salted,18.0
114,68,Kenya,France,1992,skins_goat_dry_salted,21.0
32,68,Cameroon,France,1991,skins_goat_dry_salted,7.0
32,68,Cameroon,France,2004,skins_goat_dry_salted,5.0
32,68,Cameroon,France,2005,skins_goat_dry_salted,5.0
41,16,"China, mainland",Bangladesh,1990,skins_goat_dry_salted,60.0
41,16,"China, mainland",Bangladesh,1991,skins_goat_dry_salted,50.0
41,16,"China, mainland",Bangladesh,1996,skins_goat_dry_salted,14.0
214,115,"China, Taiwan Province of",Cambodia,2004,skins_goat_dry_salted,5.0
214,115,"China, Taiwan Province of",Cambodia,2005,skins_goat_dry_salted,2.0
40,21,Chile,Brazil,1986,skins_goat_dry_salted,6.0
40,21,Chile,Brazil,1987,skins_goat_dry_salted,1.0
40,21,Chile,Brazil,1988,skins_goat_dry_salted,5.0
130,229,Malawi,United Kingdom of Great Britain and Northern Ireland,1986,skins_goat_dry_salted,2.0
130,229,Malawi,United Kingdom of Great Britain and Northern Ireland,1988,skins_goat_dry_salted,3.0
112,68,Jordan,France,1994,skins_goat_dry_salted,16.0
98,80,Croatia,Bosnia and Herzegovina,2001,skins_goat_dry_salted,1.0
15,51,Belgium-Luxembourg,Czechoslovakia,1992,skins_goat_dry_salted,3.0
68,10,France,Australia,1995,skins_goat_dry_salted,20.0
106,10,Italy,Australia,2002,skins_goat_dry_salted,3.0
106,10,Italy,Australia,2003,skins_goat_dry_salted,24.0
106,10,Italy,Australia,2008,skins_goat_dry_salted,106.0
238,106,Ethiopia,Italy,1998,skins_goat_dry_salted,2423.0
238,106,Ethiopia,Italy,1999,skins_goat_dry_salted,1272.0
238,106,Ethiopia,Italy,2000,skins_goat_dry_salted,2311.0
238,106,Ethiopia,Italy,2001,skins_goat_dry_salted,31.0
238,106,Ethiopia,Italy,2002,skins_goat_dry_salted,175.0
238,106,Ethiopia,Italy,2003,skins_goat_dry_salted,71.0
238,106,Ethiopia,Italy,2004,skins_goat_dry_salted,755.0
238,106,Ethiopia,Italy,2005,skins_goat_dry_salted,821.0
238,106,Ethiopia,Italy,2006,skins_goat_dry_salted,226.0
238,106,Ethiopia,Italy,2007,skins_goat_dry_salted,31.0
113,185,Kyrgyzstan,Russian Federation,2007,skins_goat_dry_salted,23.0
149,231,Nepal,United States of America,2003,skins_goat_dry_salted,4.0
114,79,Kenya,Germany,1993,skins_goat_dry_salted,14.0
20,202,Botswana,South Africa,2012,skins_goat_dry_salted,1.0
20,202,Botswana,South Africa,2013,skins_goat_dry_salted,25.0
238,110,Ethiopia,Japan,1998,skins_goat_dry_salted,11.0
130,215,Malawi,United Republic of Tanzania,2007,skins_goat_dry_salted,36.0
229,11,United Kingdom of Great Britain and Northern Ireland,Austria,1990,skins_goat_dry_salted,76.0
167,255,Czechia,Belgium,2007,skins_goat_dry_salted,49.0
167,255,Czechia,Belgium,2008,skins_goat_dry_salted,13.0
100,16,India,Bangladesh,2005,skins_goat_dry_salted,1.0
100,16,India,Bangladesh,2006,skins_goat_dry_salted,8.0
114,81,Kenya,Ghana,2002,skins_goat_dry_salted,2.0
114,81,Kenya,Ghana,2003,skins_goat_dry_salted,2.0
114,81,Kenya,Ghana,2004,skins_goat_dry_salted,9.0
130,231,Malawi,United States of America,2007,skins_goat_dry_salted,40.0
129,106,Madagascar,Italy,2004,skins_goat_dry_salted,4.0
226,114,Uganda,Kenya,2001,skins_goat_dry_salted,8.0
114,84,Kenya,Greece,1986,skins_goat_dry_salted,37.0
114,84,Kenya,Greece,1993,skins_goat_dry_salted,8.0
114,84,Kenya,Greece,1996,skins_goat_dry_salted,2.0
203,11,Spain,Austria,1994,skins_goat_dry_salted,1.0
104,96,Ireland,"China, Hong Kong SAR",1999,skins_goat_dry_salted,18.0
198,80,Slovenia,Bosnia and Herzegovina,1996,skins_goat_dry_salted,5.0
194,59,Saudi Arabia,Egypt,2001,skins_goat_dry_salted,18.0
231,10,United States of America,Australia,1988,skins_goat_dry_salted,21.0
